Id,Weekly_Sales
Store_Dept_Date,0.0
1_1_2012-11-02,32154.337712386518
1_1_2012-11-09,17782.48299859294
1_1_2012-11-16,21439.741385968457
1_1_2012-11-23,21747.76544768408
1_1_2012-11-30,22659.48053810393
1_1_2012-12-07,34705.62859389155
1_1_2012-12-14,40784.97633874265
1_1_2012-12-21,43585.88604558958
1_1_2012-12-28,30174.364636315306
1_1_2013-01-04,17297.07459533316
1_1_2013-01-11,18521.79663752296
1_1_2013-01-18,19422.359885800797
1_1_2013-01-25,18198.286500115682
1_1_2013-02-01,26466.697260978297
1_1_2013-02-08,30671.786141286873
1_1_2013-02-15,45659.377226397424
1_1_2013-02-22,20852.81200105464
1_1_2013-03-01,23393.55551293418
1_1_2013-03-08,23848.19598873754
1_1_2013-03-15,24529.068077269796
1_1_2013-03-22,22764.724861779374
1_1_2013-03-29,21376.612359323706
1_1_2013-04-05,40201.7388690385
1_1_2013-04-12,23322.7648069049
1_1_2013-04-19,16627.61834595791
1_1_2013-04-26,19700.64539240687
1_1_2013-05-03,19588.01307780041
1_1_2013-05-10,20063.52034161598
1_1_2013-05-17,20467.82582317869
1_1_2013-05-24,19614.22670469463
1_1_2013-05-31,19050.663350170547
1_1_2013-06-07,19615.64628431698
1_1_2013-06-14,19459.874418210187
1_1_2013-06-21,19119.128293698344
1_1_2013-06-28,18296.404133625147
1_1_2013-07-05,20076.57396758965
1_1_2013-07-12,18879.998660623063
1_1_2013-07-19,19199.410098767927
1_1_2013-07-26,18681.863646172736
1_2_2012-11-02,48723.07260043375
1_2_2012-11-09,46731.40169848464
1_2_2012-11-16,46196.48681853826
1_2_2012-11-23,46056.998820538734
1_2_2012-11-30,46398.36564719326
1_2_2012-12-07,51523.406503531776
1_2_2012-12-14,48880.657658513315
1_2_2012-12-21,64937.592557515105
1_2_2012-12-28,46899.43107568596
1_2_2013-01-04,44866.470639735606
1_2_2013-01-11,43827.16343241987
1_2_2013-01-18,44788.61403091629
1_2_2013-01-25,39920.89982139126
1_2_2013-02-01,55227.506646176465
1_2_2013-02-08,52131.38841984213
1_2_2013-02-15,48911.6900021346
1_2_2013-02-22,48794.644469743434
1_2_2013-03-01,51644.23196977856
1_2_2013-03-08,48231.308588850035
1_2_2013-03-15,48406.504777149086
1_2_2013-03-22,46173.716967383494
1_2_2013-03-29,46496.23915838678
1_2_2013-04-05,53077.62894822103
1_2_2013-04-12,46033.65484660191
1_2_2013-04-19,48240.140358731776
1_2_2013-04-26,46708.30320605628
1_2_2013-05-03,50304.85334756538
1_2_2013-05-10,47271.39926830023
1_2_2013-05-17,45626.62223046237
1_2_2013-05-24,46621.121235932544
1_2_2013-05-31,47176.76502093354
1_2_2013-06-07,49889.80835230298
1_2_2013-06-14,47539.96727721699
1_2_2013-06-21,47098.08753577112
1_2_2013-06-28,47861.1659099813
1_2_2013-07-05,49698.946831048685
1_2_2013-07-12,44970.13886297693
1_2_2013-07-19,46313.6560880077
1_2_2013-07-26,45040.94077194914
1_3_2012-11-02,10658.97875072109
1_3_2012-11-09,10817.145901231685
1_3_2012-11-16,11253.542799781513
1_3_2012-11-23,10899.023489656385
1_3_2012-11-30,10211.53714919855
1_3_2012-12-07,12549.119447875855
1_3_2012-12-14,12969.550515976589
1_3_2012-12-21,14579.392141867986
1_3_2012-12-28,12073.009685565958
1_3_2013-01-04,13898.527809129773
1_3_2013-01-11,15383.816207309268
1_3_2013-01-18,15241.28247192493
1_3_2013-01-25,14136.97389884471
1_3_2013-02-01,12558.24915663932
